M,Issuance province,port,Brand,Model,Year of manufacture,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,General total,Country,Shape,Fuel_Type
2979.0,Cairo,Police Services Unit,Audi,Q7,,,1.0,,,1.0,Germany,SUV,Diesel
2980.0,Cairo,Police Services Unit,GAC,EMPOW,,,,,1.0,1.0,China,Sedan,Petrol
2981.0,Cairo,Police Services Unit,MG,HS,,,,,1.0,1.0,China,SUV,Petrol
2982.0,Cairo,Police Services Unit,Zeekr,7X,,,,,1.0,1.0,China,SUV,Electric
2983.0,Cairo,Police Services Unit,BYD,song plus,,,,1.0,,1.0,China,SUV,Plug-in Hybrid
2984.0,Cairo,Police Services Unit,MINI,Countryman c,,,,,1.0,1.0,Germany,SUV,Petrol
2985.0,Cairo,Police Services Unit,Dayun,250,,,,1.0,,1.0,China,Motorcycle,Petrol
2986.0,Cairo,Police Services Unit,Volvo,xc90,,,,,1.0,1.0,Sweden,SUV,Diesel
2987.0,Cairo,Public transport traffic unit,Golden Dragon,Dragon,,,,,9.0,9.0,China,Bus,Electric
2988.0,Cairo,Public transport traffic unit,Golden Dragon,Dragon,,,,,6.0,6.0,China,Bus,Electric
2990.0,Cairo,Public transport traffic unit,Mitsubishi,GLS,,,,,6.0,6.0,Japan,Truck,Petrol
2991.0,Cairo,Public transport traffic unit,Mitsubishi,LBH2,,,,,2.0,2.0,Japan,Truck,Petrol
2992.0,Cairo,Public transport traffic unit,Mitsubishi,GB,,,,,1.0,1.0,Japan,Truck,Electric
2993.0,Cairo,Public transport traffic unit,King Long,XMQ6500,,,,,8.0,8.0,China,Bus,Electric
2994.0,Cairo,Public transport traffic unit,Chevrolet,NQR 71,,,,,4.0,4.0,USA,Truck,Petrol
2995.0,Cairo,Public transport traffic unit,Chevrolet,N P R,,,,,4.0,4.0,USA,Truck,Electric
2996.0,Cairo,Public transport traffic unit,Zemex,GDQ6501/A2,,,,,6.0,6.0,China,Bus,Petrol
2997.0,Cairo,Public transport traffic unit,Foton,VIEWCS2,,,,,4.0,4.0,China,Van,Diesel
2998.0,Cairo,Public transport traffic unit,Foton,BJ6489B1PWA,,,,,2.0,2.0,China,Van,Diesel
2999.0,Cairo,Public transport traffic unit,Yutong,YUTONG,,,,,6.0,6.0,China,Bus,Diesel
3000.0,Cairo,Public transport traffic unit,Joylong,JOYLONG,,,,,2.0,2.0,China,Van,Petrol
3001.0,Cairo,Public transport traffic unit,Iveco,DAILY,2.0,,,,,2.0,Italy,Van,Petrol
3002.0,Cairo,Public transport traffic unit,Toyota,Hi Ace,,,,,1.0,1.0,Japan,Van,Petrol
3003.0,Cairo,Public sector traffic unit,Foton,BJ6608B1DDA-A2,,,,,9.0,9.0,China,Bus,Diesel
3004.0,Cairo,Public sector traffic unit,Foton,VIEWCS2,,,,,2.0,2.0,China,Van,Diesel
3005.0,Cairo,Public sector traffic unit,Foton,Photon,,,,,2.0,2.0,China,Truck,Electric
3006.0,Cairo,Public sector traffic unit,Foton,BJ6489B1PWA,,,,,1.0,1.0,China,Van,Diesel
3007.0,Cairo,Public sector traffic unit,Foton,BJ660B1DDA-A2,,,,,1.0,1.0,China,Bus,Diesel
3008.0,Cairo,Public sector traffic unit,Toyota,Hi Ace,,,,3.0,5.0,8.0,Japan,Van,Petrol
3009.0,Cairo,Public sector traffic unit,Toyota,Coaster,,,,,2.0,2.0,Japan,Bus,Diesel
3010.0,Cairo,Public sector traffic unit,Toyota,Hayes,,,,1.0,,1.0,Japan,Van,Electric
3011.0,Cairo,Public sector traffic unit,Abaza,,,,,5.0,,5.0,Egypt,,Petrol
3012.0,Cairo,Public sector traffic unit,Abaza,Silo,,,,5.0,,5.0,Egypt,Truck,Petrol
3013.0,Cairo,Public sector traffic unit,Golden Dragon,Dragon,,,1.0,,4.0,5.0,China,Bus,Electric
3014.0,Cairo,Public sector traffic unit,King Long,XMQ6500,,,,1.0,3.0,4.0,China,Bus,Electric
3015.0,Cairo,Public sector traffic unit,Sany,525,,,4.0,,,4.0,China,Truck,Petrol
3016.0,Cairo,Public sector traffic unit,Chevrolet,N P R,,,,1.0,1.0,2.0,USA,Truck,Electric
3017.0,Cairo,Public sector traffic unit,Chevrolet,jaaefr,,,,,1.0,1.0,USA,Truck,Petrol
3018.0,Cairo,Public sector traffic unit,Chevrolet,NQR 71,,,,,1.0,1.0,USA,Truck,Petrol
3019.0,Cairo,Public sector traffic unit,Mitsubishi,FE85CG6LBH2,,,,,2.0,2.0,Japan,Truck,Petrol
3021.0,Cairo,Alone passing the Judges Club,Hyundai,Tucson NX4,,,,,2.0,2.0,South Korea,SUV,Petrol
3022.0,Cairo,Alone passing the Judges Club,Hyundai,I 30,,,,,1.0,1.0,South Korea,Hatchback,Petrol
3023.0,Cairo,Alone passing the Judges Club,Hyundai,Elantra AD,,,,,1.0,1.0,South Korea,Sedan,Petrol
3024.0,Cairo,Alone passing the Judges Club,Hyundai,Avante,,1.0,,,,1.0,South Korea,Sedan,Electric
3025.0,Cairo,Alone passing the Judges Club,Hyundai,Elantra,,,,,1.0,1.0,South Korea,Sedan,Petrol
3026.0,Cairo,Alone passing the Judges Club,MG,one,,,,,2.0,2.0,China,SUV,Petrol
3027.0,Cairo,Alone passing the Judges Club,MG,ZS,,,,,1.0,1.0,China,SUV,Petrol
3028.0,Cairo,Alone passing the Judges Club,MG,GT,,,,,1.0,1.0,China,Sedan,Petrol
3029.0,Cairo,Alone passing the Judges Club,MG,HS,,,,,1.0,1.0,China,SUV,Petrol
3030.0,Cairo,Alone passing the Judges Club,Škoda,Octavia,1.0,,,,3.0,4.0,Czech Republic,Sedan,Electric
3031.0,Cairo,Alone passing the Judges Club,Škoda,Kodiak,,,,,1.0,1.0,Czech Republic,SUV,Petrol
3032.0,Cairo,Alone passing the Judges Club,Toyota,Corolla,,,,,3.0,3.0,Japan,Sedan,Petrol
3033.0,Cairo,Alone passing the Judges Club,Toyota,bZ3X,,,,1.0,,1.0,Japan,SUV,Electric
3034.0,Cairo,Alone passing the Judges Club,Renault,Taliant,,,,,3.0,3.0,France,Sedan,Petrol
3035.0,Cairo,Alone passing the Judges Club,Renault,kardian,,,,,1.0,1.0,France,SUV,Petrol
3036.0,Cairo,Alone passing the Judges Club,SouEast,S05,,,,,2.0,2.0,China,SUV,Petrol
3037.0,Cairo,Alone passing the Judges Club,SouEast,S07,,,,,1.0,1.0,China,SUV,Petrol
3038.0,Cairo,Alone passing the Judges Club,SouEast,S06,,,,,1.0,1.0,China,SUV,Petrol
3039.0,Cairo,Alone passing the Judges Club,Nissan,Centra,,,,,2.0,2.0,Japan,Sedan,Petrol
3040.0,Cairo,Alone passing the Judges Club,Nissan,Qashqai,,,,,1.0,1.0,Japan,SUV,Petrol
3041.0,Cairo,Alone passing the Judges Club,Fiat,x500,,,,,3.0,3.0,Italy,SUV,Petrol
3042.0,Cairo,Alone passing the Judges Club,Gator,X90 PLUS,,,,,1.0,1.0,USA,SUV,Petrol
3043.0,Cairo,Alone passing the Judges Club,Gator,X70 FL,,,,,1.0,1.0,USA,SUV,Petrol
3044.0,Cairo,Alone passing the Judges Club,Cobra,TERRAMAR,,,,2.0,,2.0,China,SUV,Petrol
3045.0,Cairo,Alone passing the Judges Club,Mercedes-Benz,C200,,,1.0,1.0,,2.0,Germany,Sedan,Petrol
3046.0,Cairo,Alone passing the Judges Club,Kia,Sportage,,1.0,1.0,,,2.0,South Korea,SUV,Petrol
3047.0,Cairo,Alone passing the Judges Club,BMW,520I,,,,,1.0,1.0,Germany,Sedan,Petrol
3048.0,Cairo,Alone passing the Judges Club,BMW,320I,,,,1.0,,1.0,Germany,Sedan,Petrol
3049.0,Cairo,Alone passing the Judges Club,Citroën,C5,,,,,1.0,1.0,France,Sedan,Electric
3050.0,Cairo,Alone passing the Judges Club,Citroën,C4,,,,,1.0,1.0,France,Hatchback,Petrol
3051.0,Cairo,Alone passing the Judges Club,Proton,Saga,,,,1.0,,1.0,Malaysia,Sedan,Petrol
3052.0,Cairo,Alone passing the Judges Club,GAC,EMPOW,,,,,1.0,1.0,China,Sedan,Petrol
3053.0,Cairo,Alone passing the Judges Club,Mitsubishi,ECLIPSE,,,,1.0,,1.0,Japan,Coupe,Petrol
3054.0,Cairo,Alone passing the Judges Club,BAIC,U5 PLUS,,,,1.0,,1.0,China,Sedan,Petrol
3055.0,Cairo,Alone passing the Judges Club,KGM,TORRES,,,,,1.0,1.0,South Korea,SUV,Petrol
3056.0,Cairo,Alone passing the Judges Club,Chery,Tigo 4,,,,,1.0,1.0,China,SUV,Petrol
3057.0,Cairo,Alone passing the Judges Club,BYD,Sealion 07,,,,1.0,,1.0,China,SUV,Electric
3058.0,Cairo,State Council,Kia,Sorrento,,,1.0,,,1.0,South Korea,SUV,Petrol
3059.0,Cairo,State Council,Kia,Sportage,,1.0,,,,1.0,South Korea,SUV,Petrol
3060.0,Cairo,State Council,Peugeot,5008,,,,,2.0,2.0,France,SUV,Diesel
3061.0,Cairo,State Council,Hyundai,Elantra,,,,,2.0,2.0,South Korea,Sedan,Petrol
3062.0,Cairo,State Council,Mercedes-Benz,C-180,,,1.0,,,1.0,Germany,Sedan,Electric
3063.0,Cairo,State Council,SYM,SYM 200,,,,1.0,,1.0,Taiwan,Motorcycle,Petrol
3064.0,Cairo,State Council,BAIC,U5 PLUS,,,,,1.0,1.0,China,Sedan,Petrol
3065.0,Cairo,State Council,Toyota,Corolla,,,,,1.0,1.0,Japan,Sedan,Petrol
3066.0,Cairo,State Council,Land Rover,VELAR,,,1.0,,,1.0,UK,SUV,Diesel
3067.0,Cairo,State Council,Opel,Grandland,,,,,1.0,1.0,Germany,SUV,Petrol
3068.0,Cairo,State Council,SEAT,Aruna,,,,,1.0,1.0,Spain,SUV,Petrol
3069.0,Giza,Faisal Traffic Unit,Haojiang,,,3.0,,22.0,172.0,197.0,China,,Electric
3070.0,Giza,Faisal Traffic Unit,VIGOREY,200,,,1.0,26.0,78.0,105.0,China,Motorcycle,Petrol
3071.0,Giza,Faisal Traffic Unit,VIGOREY,150,,,1.0,21.0,41.0,63.0,China,Motorcycle,Petrol
3072.0,Giza,Faisal Traffic Unit,VIGOREY,250,1.0,,,10.0,14.0,25.0,China,Motorcycle,Petrol
3073.0,Giza,Faisal Traffic Unit,TVS,STAR HLX 150,1.0,,,4.0,137.0,142.0,India,Motorcycle,Petrol
3074.0,Giza,Faisal Traffic Unit,TVS,apache RTR,,,,2.0,12.0,14.0,India,Motorcycle,Petrol
3075.0,Giza,Faisal Traffic Unit,TVS,Apache RTR 160,,,,,9.0,9.0,India,Motorcycle,Petrol
3076.0,Giza,Faisal Traffic Unit,TVS,HLX 15DS,,,,,6.0,6.0,India,Motorcycle,Petrol
3077.0,Giza,Faisal Traffic Unit,TVS,STAR HLX100,,,,,2.0,2.0,India,Motorcycle,Petrol
3078.0,Giza,Faisal Traffic Unit,Dayun,150,,,,16.0,71.0,87.0,China,Motorcycle,Electric
3079.0,Giza,Faisal Traffic Unit,Dayun,200,,,,4.0,8.0,12.0,China,Motorcycle,Petrol
3080.0,Giza,Faisal Traffic Unit,Dayun,DY300,,1.0,,,3.0,4.0,China,Motorcycle,Petrol
3081.0,Giza,Faisal Traffic Unit,Dayun,250,,,,2.0,,2.0,China,Motorcycle,Petrol
3082.0,Giza,Faisal Traffic Unit,Bajaj,Boxer,,1.0,2.0,6.0,59.0,68.0,India,Motorcycle,Electric
3083.0,Giza,Faisal Traffic Unit,Bajaj,With secret 180,,,,,14.0,14.0,India,Motorcycle,Petrol
3084.0,Giza,Faisal Traffic Unit,Bajaj,With secret 150,,,,12.0,,12.0,India,Motorcycle,Petrol
3085.0,Giza,Faisal Traffic Unit,Bajaj,150,,,,1.0,2.0,3.0,India,Motorcycle,Electric
3086.0,Giza,Faisal Traffic Unit,Bajaj,Pulser C180,,,,,1.0,1.0,India,Motorcycle,Electric
3087.0,Giza,Faisal Traffic Unit,Bajaj,Boxer 150,1.0,,,15.0,60.0,76.0,India,Motorcycle,Electric
3088.0,Giza,Faisal Traffic Unit,Bajaj,pulsar,,,,9.0,11.0,20.0,India,Motorcycle,Electric
3089.0,Giza,Faisal Traffic Unit,Bajaj,cc180,,,,,1.0,1.0,India,Motorcycle,Electric
3090.0,Giza,Faisal Traffic Unit,Nissan,Sunny,,,,,44.0,44.0,Japan,Sedan,Petrol
3091.0,Giza,Faisal Traffic Unit,Nissan,Centra,,,,,3.0,3.0,Japan,Sedan,Petrol
3092.0,Giza,Faisal Traffic Unit,Nissan,Qashqai,,,,,1.0,1.0,Japan,SUV,Petrol
3093.0,Giza,Faisal Traffic Unit,Nissan,X-Trail,,,,1.0,,1.0,Japan,SUV,Petrol
3094.0,Giza,Faisal Traffic Unit,Keeway,,,,,27.0,16.0,43.0,China,,Petrol
3095.0,Giza,Faisal Traffic Unit,Keeway,200,,,,3.0,,3.0,China,Motorcycle,Petrol
3096.0,Giza,Faisal Traffic Unit,Hyundai,Elantra,,1.0,,,15.0,16.0,South Korea,Sedan,Petrol
3097.0,Giza,Faisal Traffic Unit,Hyundai,Elantra AD,,,,,10.0,10.0,South Korea,Sedan,Petrol
3098.0,Giza,Faisal Traffic Unit,Hyundai,Accent RB,,,,,7.0,7.0,South Korea,Sedan,Electric
3099.0,Giza,Faisal Traffic Unit,Hyundai,Accent,,,,,4.0,4.0,South Korea,Sedan,Petrol
3100.0,Giza,Faisal Traffic Unit,Hyundai,Tucson NX4,,,,1.0,2.0,3.0,South Korea,SUV,Petrol
3101.0,Giza,Faisal Traffic Unit,Hyundai,Creta,,,,1.0,,1.0,South Korea,SUV,Petrol
3102.0,Giza,Faisal Traffic Unit,Hyundai,Tucson,,,,1.0,,1.0,South Korea,SUV,Petrol
3103.0,Giza,Faisal Traffic Unit,Chery,Arrizo 5,,,,,10.0,10.0,China,Sedan,Petrol
3104.0,Giza,Faisal Traffic Unit,Chery,Tiggo 4 Pro,,,,,8.0,8.0,China,SUV,Petrol
3105.0,Giza,Faisal Traffic Unit,Chery,Tejo7,,,,,6.0,6.0,China,SUV,Petrol
3106.0,Giza,Faisal Traffic Unit,Chery,Tiggo 7 pro max,,,,,6.0,6.0,China,SUV,Petrol
3107.0,Giza,Faisal Traffic Unit,Chery,Tego 8,,,,,3.0,3.0,China,SUV,Petrol
3108.0,Giza,Faisal Traffic Unit,Chery,Tigo 4,,,,,2.0,2.0,China,SUV,Petrol
3109.0,Giza,Faisal Traffic Unit,Chery,Tiggo 8 Pro Max,,,,,1.0,1.0,China,SUV,Petrol
3110.0,Giza,Faisal Traffic Unit,Gator,X70 FL,,,,,7.0,7.0,USA,SUV,Petrol
3111.0,Giza,Faisal Traffic Unit,Gator,DASHING,,,,,7.0,7.0,USA,SUV,Petrol
3112.0,Giza,Faisal Traffic Unit,Gator,x70 plus,,,,,4.0,4.0,USA,SUV,Petrol
3113.0,Giza,Faisal Traffic Unit,Gator,T-2,,,,,3.0,3.0,USA,SUV,Petrol
3114.0,Giza,Faisal Traffic Unit,Gator,T1,,,,,3.0,3.0,USA,SUV,Petrol
3115.0,Giza,Faisal Traffic Unit,Gator,X90 PLUS,,,,,2.0,2.0,USA,SUV,Petrol
3116.0,Giza,Faisal Traffic Unit,PNE,,1.0,,,14.0,11.0,26.0,China,,Petrol
3117.0,Giza,Faisal Traffic Unit,SYM,Scooter,,,1.0,3.0,11.0,15.0,Taiwan,Motorcycle,Electric
3118.0,Giza,Faisal Traffic Unit,SYM,SYM 200,,,,3.0,4.0,7.0,Taiwan,Motorcycle,Petrol
3119.0,Giza,Faisal Traffic Unit,SYM,st,,,,,2.0,2.0,Taiwan,Motorcycle,Petrol
3120.0,Giza,Faisal Traffic Unit,MG,5,,,,,11.0,11.0,China,Sedan,Electric
3121.0,Giza,Faisal Traffic Unit,MG,ZS,,,1.0,,8.0,9.0,China,SUV,Petrol
3122.0,Giza,Faisal Traffic Unit,MG,one,,,,,2.0,2.0,China,SUV,Petrol
3123.0,Giza,Faisal Traffic Unit,MG,RX5,,,,,1.0,1.0,China,SUV,Petrol
3124.0,Giza,Faisal Traffic Unit,Ankai,200,11.0,,,1.0,,12.0,China,Bus,Petrol
3125.0,Giza,Faisal Traffic Unit,Ankai,150,10.0,,,,,10.0,China,Bus,Petrol
3126.0,Giza,Faisal Traffic Unit,CMG,CMG,,1.0,1.0,8.0,9.0,19.0,China,Motorcycle,Electric
3127.0,Giza,Faisal Traffic Unit,Benelli,BENELLI,,,,13.0,,13.0,China,Motorcycle,Electric
3128.0,Giza,Faisal Traffic Unit,Benelli,V L M,,,,2.0,,2.0,China,Motorcycle,Petrol
3129.0,Giza,Faisal Traffic Unit,Benelli,V L R,,,,1.0,,1.0,China,Motorcycle,Petrol
3130.0,Giza,Faisal Traffic Unit,Chevrolet,Optra,,,,,14.0,14.0,USA,Sedan,Petrol
3131.0,Giza,Faisal Traffic Unit,Chevrolet,Optra LT,,,,,1.0,1.0,USA,Sedan,Petrol
3132.0,Giza,Faisal Traffic Unit,SouEast,S05,,,,,7.0,7.0,China,SUV,Petrol
3133.0,Giza,Faisal Traffic Unit,SouEast,S07,,,,,2.0,2.0,China,SUV,Petrol
3134.0,Giza,Faisal Traffic Unit,SouEast,S06,,,,,1.0,1.0,China,SUV,Petrol
3135.0,Giza,Faisal Traffic Unit,Haojiang,,,,,5.0,3.0,8.0,China,,Electric
3136.0,Giza,Faisal Traffic Unit,Renault,Duster,,,,,3.0,3.0,France,SUV,Petrol
3137.0,Giza,Faisal Traffic Unit,Renault,Taliant,,,,,2.0,2.0,France,Sedan,Petrol
3138.0,Giza,Faisal Traffic Unit,Renault,kardian,,,,,1.0,1.0,France,SUV,Petrol
3139.0,Giza,Faisal Traffic Unit,Kia,Sportage,1.0,,,,1.0,2.0,South Korea,SUV,Petrol
3140.0,Giza,Faisal Traffic Unit,Kia,k3,,1.0,1.0,,,2.0,South Korea,Sedan,Electric
3141.0,Giza,Faisal Traffic Unit,Kia,EV3,,,,,1.0,1.0,South Korea,SUV,Electric
3142.0,Giza,Faisal Traffic Unit,Kia,K4,,,,,1.0,1.0,South Korea,Sedan,Petrol
3143.0,Giza,Faisal Traffic Unit,Volkswagen,Tiguan,,,,,5.0,5.0,Germany,SUV,Petrol
3144.0,Giza,Faisal Traffic Unit,Toyota,Corolla,,,,,5.0,5.0,Japan,Sedan,Petrol
3145.0,Giza,Faisal Traffic Unit,Peugeot,408,,,,,3.0,3.0,France,Sedan,Petrol
3146.0,Giza,Faisal Traffic Unit,Peugeot,3008,,,,,2.0,2.0,France,SUV,Petrol
3147.0,Giza,Faisal Traffic Unit,Zontes,250,,,,,2.0,2.0,China,Motorcycle,Petrol
3148.0,Giza,Faisal Traffic Unit,Zontes,350,,,,,1.0,1.0,China,Motorcycle,Petrol
3149.0,Giza,Faisal Traffic Unit,Zontes,150,,,,1.0,,1.0,China,Motorcycle,Petrol
3150.0,Giza,Faisal Traffic Unit,Senke,,,,,,4.0,4.0,China,,Petrol
3151.0,Giza,Faisal Traffic Unit,Mitsubishi,Eclipse Cross,,,,2.0,,2.0,Japan,SUV,Petrol
3152.0,Giza,Faisal Traffic Unit,Mitsubishi,XPANDER CROSS,,,,,1.0,1.0,Japan,Minivan,Petrol
3153.0,Giza,Faisal Traffic Unit,Mitsubishi,XPANDER,,,,,1.0,1.0,Japan,Minivan,Petrol
3154.0,Giza,Faisal Traffic Unit,Škoda,Kodiak,,,,,3.0,3.0,Czech Republic,SUV,Petrol
3155.0,Giza,Faisal Traffic Unit,Škoda,Superb,,,,,1.0,1.0,Czech Republic,Sedan,Petrol
3156.0,Giza,Faisal Traffic Unit,BAIC,U5 PLUS,,,,,4.0,4.0,China,Sedan,Petrol
3157.0,Giza,Faisal Traffic Unit,KYC,V3,,,,,3.0,3.0,China,Pickup,Petrol
3158.0,Giza,Faisal Traffic Unit,Geely,Emgrand,,,,,2.0,2.0,China,Sedan,Petrol
3159.0,Giza,Faisal Traffic Unit,Geely,M Grand,,,,,1.0,1.0,China,Sedan,Petrol
3160.0,Giza,Faisal Traffic Unit,DFSK,E5,,,,,3.0,3.0,China,SUV,Electric
3161.0,Giza,Faisal Traffic Unit,Haojiang,HJ150-11A,,,,1.0,1.0,2.0,China,Motorcycle,Petrol
3162.0,Giza,Faisal Traffic Unit,Haojiang,HJ150-11F,,,,,1.0,1.0,China,Motorcycle,Petrol
3163.0,Giza,Faisal Traffic Unit,Haval,H6,,,,,3.0,3.0,China,SUV,Petrol
3164.0,Giza,Faisal Traffic Unit,Suzuki,S-Presso,,,,,1.0,1.0,Japan,Hatchback,Petrol
3165.0,Giza,Faisal Traffic Unit,Suzuki,Swift.,,,,,1.0,1.0,Japan,Hatchback,Electric
3166.0,Giza,Faisal Traffic Unit,Suzuki,Baleno,,,,,1.0,1.0,Japan,Hatchback,Petrol
3167.0,Giza,Faisal Traffic Unit,JAC,js2,,,,,1.0,1.0,China,SUV,Electric
3168.0,Giza,Faisal Traffic Unit,JAC,GS4,,,,,1.0,1.0,China,SUV,Electric
3169.0,Giza,Faisal Traffic Unit,Higer,,,,,2.0,,2.0,China,,Electric
3170.0,Giza,Faisal Traffic Unit,Proton,Saga,,,,,2.0,2.0,Malaysia,Sedan,Petrol
3171.0,Giza,Faisal Traffic Unit,Citroën,C5,,,,,2.0,2.0,France,Sedan,Electric
3172.0,Giza,Faisal Traffic Unit,SEAT,Aruna,,,,,1.0,1.0,Spain,SUV,Petrol
3173.0,Giza,Faisal Traffic Unit,SEAT,Ibiza,,,,,1.0,1.0,Spain,Hatchback,Petrol
3174.0,Giza,Faisal Traffic Unit,Shineray,x30,,,,,2.0,2.0,China,Van,Petrol
3175.0,Giza,Faisal Traffic Unit,MG,RX5,,,,,1.0,1.0,China,SUV,Petrol
3176.0,Giza,Faisal Traffic Unit,MG,GT,,,,,1.0,1.0,China,Sedan,Petrol
3177.0,Giza,Faisal Traffic Unit,Fiat,x500,,,,,2.0,2.0,Italy,SUV,Petrol
3178.0,Giza,Faisal Traffic Unit,Cobra,TERRAMAR,,,,1.0,,1.0,China,SUV,Petrol
3179.0,Giza,Faisal Traffic Unit,Changan,CS55 PLUS,,,,,1.0,1.0,China,SUV,Petrol
3180.0,Giza,Faisal Traffic Unit,Jieda,,,,,,1.0,1.0,China,,Petrol
3181.0,Giza,Faisal Traffic Unit,BYD,SONG L,,,,1.0,,1.0,China,SUV,Electric
3182.0,Giza,Faisal Traffic Unit,Mercedes-Benz,E200,,,,,1.0,1.0,Germany,Sedan,Petrol
3183.0,Giza,Faisal Traffic Unit,GAC,EMPOW,,,,,1.0,1.0,China,Sedan,Petrol
3184.0,Giza,Faisal Traffic Unit,Haojiang,hj250,,,,,1.0,1.0,China,Motorcycle,Petrol
3185.0,Giza,Faisal Traffic Unit,Haval,H6,,,,,1.0,1.0,China,SUV,Petrol
3186.0,Giza,Faisal Traffic Unit,GMG,,,,,1.0,,1.0,China,,Petrol
3187.0,Giza,Faisal Traffic Unit,Honda,Accord,1.0,,,,,1.0,Japan,Sedan,Petrol
3188.0,Giza,Faisal Traffic Unit,Opel,Grandland,,,,,1.0,1.0,Germany,SUV,Petrol
3189.0,Giza,Faisal Traffic Unit,JAC,Js2 smart,,,,,1.0,1.0,China,SUV,Electric
3190.0,Giza,Faisal Traffic Unit,BMW,320I,,,,,1.0,1.0,Germany,Sedan,Petrol
3191.0,Giza,Hawamdiya Traffic Unit,Haojiang,,6.0,2.0,4.0,55.0,326.0,393.0,China,,Electric
3192.0,Giza,Hawamdiya Traffic Unit,Chevrolet,TFR,,1.0,,1.0,106.0,108.0,USA,Pickup,Electric
3193.0,Giza,Hawamdiya Traffic Unit,Chevrolet,NQR 71,,,,,17.0,17.0,USA,Truck,Petrol
3194.0,Giza,Hawamdiya Traffic Unit,Chevrolet,RT 95,,,,,10.0,10.0,USA,Truck,Petrol
3195.0,Giza,Hawamdiya Traffic Unit,Chevrolet,N P R,,,,,7.0,7.0,USA,Truck,Electric
3196.0,Giza,Hawamdiya Traffic Unit,Chevrolet,Optra,,,,,2.0,2.0,USA,Sedan,Petrol
3197.0,Giza,Hawamdiya Traffic Unit,Chevrolet,NKR,,,,,1.0,1.0,USA,Truck,Petrol
3198.0,Giza,Hawamdiya Traffic Unit,Chevrolet,Captiva,,,,,1.0,1.0,USA,SUV,Petrol
3199.0,Giza,Hawamdiya Traffic Unit,Chevrolet,QKR 55L,,,,,1.0,1.0,USA,Truck,Petrol
3200.0,Giza,Hawamdiya Traffic Unit,VIGOREY,200,1.0,,2.0,17.0,49.0,69.0,China,Motorcycle,Petrol
3201.0,Giza,Hawamdiya Traffic Unit,VIGOREY,150,,,,17.0,23.0,40.0,China,Motorcycle,Petrol
3202.0,Giza,Hawamdiya Traffic Unit,VIGOREY,250,,,,1.0,4.0,5.0,China,Motorcycle,Petrol
3203.0,Giza,Hawamdiya Traffic Unit,Dayun,150,,,1.0,28.0,54.0,83.0,China,Motorcycle,Electric
3204.0,Giza,Hawamdiya Traffic Unit,Dayun,200,,1.0,,,3.0,4.0,China,Motorcycle,Petrol
3205.0,Giza,Hawamdiya Traffic Unit,Dayun,DY300,,,,,1.0,1.0,China,Motorcycle,Petrol
3206.0,Giza,Hawamdiya Traffic Unit,PNE,,1.0,2.0,1.0,37.0,25.0,66.0,China,,Petrol
3207.0,Giza,Hawamdiya Traffic Unit,King Long,XMQ6500,1.0,1.0,1.0,,33.0,36.0,China,Bus,Electric
3208.0,Giza,Hawamdiya Traffic Unit,Golden Dragon,Dragon,2.0,,,,30.0,32.0,China,Bus,Electric
3209.0,Giza,Hawamdiya Traffic Unit,Golden Dragon,Dragon,,,,,3.0,3.0,China,Bus,Electric
3210.0,Giza,Hawamdiya Traffic Unit,Bajaj,150,,1.0,,6.0,2.0,9.0,India,Motorcycle,Electric
3211.0,Giza,Hawamdiya Traffic Unit,Bajaj,With secret 150,,,,6.0,3.0,9.0,India,Motorcycle,Petrol
3212.0,Giza,Hawamdiya Traffic Unit,Bajaj,With secret 180,,,,,7.0,7.0,India,Motorcycle,Petrol
3213.0,Giza,Hawamdiya Traffic Unit,Bajaj,Boxer,,,,1.0,4.0,5.0,India,Motorcycle,Electric
3214.0,Giza,Hawamdiya Traffic Unit,Nissan,Sunny,,,,1.0,17.0,18.0,Japan,Sedan,Petrol
3215.0,Giza,Hawamdiya Traffic Unit,Nissan,Centra,,,,,5.0,5.0,Japan,Sedan,Petrol
3216.0,Giza,Hawamdiya Traffic Unit,Chery,Arrizo 5,,,,,6.0,6.0,China,Sedan,Petrol
3217.0,Giza,Hawamdiya Traffic Unit,Chery,Tiggo 4 Pro,,,,,5.0,5.0,China,SUV,Petrol
3218.0,Giza,Hawamdiya Traffic Unit,Chery,Tejo7,,,,,4.0,4.0,China,SUV,Petrol
3219.0,Giza,Hawamdiya Traffic Unit,Chery,Tego 8,,,,,3.0,3.0,China,SUV,Petrol
3220.0,Giza,Hawamdiya Traffic Unit,Chery,Tiggo 8 Pro Max,,,,,2.0,2.0,China,SUV,Petrol
3221.0,Giza,Hawamdiya Traffic Unit,Chery,Tiggo 7 pro max,,,,,1.0,1.0,China,SUV,Petrol
3222.0,Giza,Hawamdiya Traffic Unit,Toyota,Hi Ace,,,,,6.0,6.0,Japan,Van,Petrol
3223.0,Giza,Hawamdiya Traffic Unit,Toyota,Hayes,,,,,5.0,5.0,Japan,Van,Electric
3224.0,Giza,Hawamdiya Traffic Unit,Toyota,Corolla,,,,,2.0,2.0,Japan,Sedan,Petrol
3225.0,Giza,Hawamdiya Traffic Unit,Toyota,Fortuner,,,,,1.0,1.0,Japan,SUV,Diesel
3226.0,Giza,Hawamdiya Traffic Unit,Toyota,HIASE,,,,,1.0,1.0,Japan,Van,Petrol
